www.baidu.com                 	61.135.169.121, 61.135.169.125
games.baidu.com               	180.149.131.159
lvyou.baidu.com               	115.239.217.166
app.baidu.com                 	112.80.255.227, 123.125.115.134
com.baidu.com                 	10.26.137.29
web.baidu.com                 	10.48.30.87
pay.baidu.com                 	106.39.162.55
doc.baidu.com                 	180.101.212.35
net.baidu.com                 	10.242.123.17
my.baidu.com                  	111.206.223.136
manager.baidu.com             	10.26.109.19
jingyan.baidu.com             	111.202.114.107, 111.206.37.33
platform.baidu.com            	10.91.161.75
vip.baidu.com                 	123.125.115.229
sk.baidu.com                  	10.26.95.45
resume.baidu.com              	10.58.98.34
hr.baidu.com                  	180.149.144.205
brain.baidu.com               	180.97.104.12
p.baidu.com                   	153.3.236.87
registry.baidu.com            	10.57.8.230
usa.baidu.com                 	107.180.84.128
gandalf.baidu.com             	112.34.112.37, 123.125.115.91, 220.181.57.94
doctor.baidu.com              	115.239.217.162
talent.baidu.com              	180.149.144.205
wenku.baidu.com               	153.37.235.74
zhidao.baidu.com              	180.149.131.245, 180.149.133.165
imp.baidu.com                 	10.32.16.20
kb.baidu.com                  	180.149.145.167
iknow.baidu.com               	153.3.236.87
km.baidu.com                  	10.42.7.54
pluto.baidu.com               	10.99.218.166
in.baidu.com                  	14.215.177.167
pt.baidu.com                  	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
money.baidu.com               	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
training.baidu.com            	10.23.1.162
futures.baidu.com             	115.239.210.174, 180.97.33.136
accounts.baidu.com            	10.11.252.74
pic.baidu.com                 	123.125.115.60
sea.baidu.com                 	10.62.141.21
bc.baidu.com                  	10.23.250.192
image.baidu.com               	14.215.177.185
ifx.baidu.com                 	10.48.18.141
sun.baidu.com                 	10.46.11.23
0.baidu.com                   	111.206.223.136
ie.baidu.com                  	180.149.144.203
hm.baidu.com                  	202.108.23.152
vega.baidu.com                	10.26.5.60, 10.50.14.165
voice.baidu.com               	112.80.248.168
name.baidu.com                	10.95.23.39
dm.baidu.com                  	115.239.211.48
auth.baidu.com                	180.149.131.246
ups.baidu.com                 	10.46.104.42
g.baidu.com                   	180.76.146.58
pg.baidu.com                  	10.48.48.31
sb.baidu.com                  	10.46.248.42
map.baidu.com                 	180.97.33.128, 180.97.34.157
owa.baidu.com                 	61.135.165.119
log.baidu.com                 	10.26.39.14
crm.baidu.com                 	111.13.100.58, 123.125.115.43, 180.149.144.54
kr.baidu.com                  	10.95.39.53
ag.baidu.com                  	202.108.23.198, 202.108.23.199
yt.baidu.com                  	112.80.255.173, 123.125.115.219
docs.baidu.com                	10.99.57.42
reports.baidu.com             	14.215.177.63
gb.baidu.com                  	10.94.39.59
pm.baidu.com                  	10.36.7.163, 10.42.6.246
prod.baidu.com                	10.65.25.83
marketing.baidu.com           	111.13.100.193
db.baidu.com                  	10.26.109.19
ems.baidu.com                 	10.38.75.31
bk.baidu.com                  	112.80.255.174, 61.135.185.24
finance.baidu.com             	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
pan.baidu.com                 	180.149.145.241
dh.baidu.com                  	111.206.223.136
www9.baidu.com                	61.135.169.105, 61.135.169.125
history.baidu.com             	61.135.169.112, 61.135.185.41
hy.baidu.com                  	112.80.255.173
ccs.baidu.com                 	10.26.7.113, 10.36.253.83
www6.baidu.com                	61.135.169.105, 61.135.169.125
router.baidu.com              	10.42.7.86, 10.65.211.124
bio.baidu.com                 	10.36.7.104, 10.50.14.199
nexus.baidu.com               	10.40.8.67
mse.baidu.com                 	220.181.7.200
sdc.baidu.com                 	10.48.21.83
mb.baidu.com                  	112.80.248.134, 112.80.255.209, 163.177.151.167, 163.177.151.168, 202.108.23.180
svn.baidu.com                 	10.65.211.174
hf.baidu.com                  	10.99.49.60
next.baidu.com                	163.177.151.76
lx.baidu.com                  	10.212.6.188
youxi.baidu.com               	112.80.255.173, 123.125.115.219
msg.baidu.com                 	112.80.248.182, 153.37.235.26
pulse.baidu.com               	10.42.4.219, 10.57.8.26
pv.baidu.com                  	10.210.193.19
aries.baidu.com               	10.95.34.44
mcp.baidu.com                 	180.149.132.219
earth.baidu.com               	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
t2.baidu.com                  	222.243.240.48
wd.baidu.com                  	10.57.13.230
che.baidu.com                 	183.232.231.89
quality.baidu.com             	10.100.81.72
nova.baidu.com                	10.26.26.89
noah.baidu.com                	10.26.7.113, 10.36.253.83
wk.baidu.com                  	153.37.235.74
qt.baidu.com                  	10.199.7.14
soc.baidu.com                 	10.215.7.49
care.baidu.com                	10.46.104.43
t1.baidu.com                  	112.122.157.48
diy.baidu.com                 	10.103.95.34
cap.baidu.com                 	111.13.100.150, 123.125.115.174, 123.125.115.209, 220.181.57.166
sep.baidu.com                 	10.48.46.43
mod.baidu.com                 	10.94.69.36
bx.baidu.com                  	112.80.255.203
thunder.baidu.com             	10.57.167.58
hudson.baidu.com              	10.46.126.23
netmon.baidu.com              	10.91.161.212
ceres.baidu.com               	106.39.162.92
itc.baidu.com                 	10.242.15.73
jpaas-matrix.baidu.com        	10.42.4.219, 10.57.8.26
t7.baidu.com                  	112.122.157.48
watson.baidu.com              	10.211.6.64
zf.baidu.com                  	61.135.186.115
iq.baidu.com                  	10.81.12.102
g1.baidu.com                  	220.181.32.114
nfs.baidu.com                 	10.215.79.55
msc.baidu.com                 	106.39.162.42
token.baidu.com               	61.135.185.62
bsc.baidu.com                 	10.42.7.122
quan.baidu.com                	202.108.23.222, 61.135.186.230
vis.baidu.com                 	111.206.37.147
vv.baidu.com                  	153.3.236.40, 163.177.151.144, 202.108.23.197
mx11.baidu.com                	111.202.115.74
asm.baidu.com                 	10.99.87.18
speech.baidu.com              	153.3.236.85
