dev.baidu.com                 	180.149.131.81
cs.baidu.com                  	10.91.160.210
static.baidu.com              	115.239.211.92
ss.baidu.com                  	115.239.210.59
bip.baidu.com                 	10.36.48.24
po.baidu.com                  	111.202.114.83, 202.108.23.204
home.baidu.com                	202.106.2.51
user.baidu.com                	10.242.113.33
ae.baidu.com                  	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
man.baidu.com                 	10.50.82.58
f3.baidu.com                  	180.149.131.88, 220.181.163.54
partner.baidu.com             	123.125.115.174, 123.125.115.209
online.baidu.com              	123.125.112.68, 123.125.115.15
go.baidu.com                  	115.239.217.166
m.baidu.com                   	61.135.186.217, 61.135.186.218
monitor.baidu.com             	10.91.161.200
apf.baidu.com                 	10.94.49.33
cat.baidu.com                 	106.39.162.57
aloha.baidu.com               	153.3.236.106
wm.baidu.com                  	115.239.210.100, 115.239.210.106
1.baidu.com                   	180.97.36.93
linux.baidu.com               	10.99.31.43
star.baidu.com                	103.235.47.75, 106.39.162.214, 111.13.105.153, 202.106.2.14
codesearch.baidu.com          	10.91.160.210
fly.baidu.com                 	10.99.25.43
payment.baidu.com             	61.135.186.115
mt.baidu.com                  	10.208.6.11
astar2018.baidu.com           	103.235.47.75, 106.39.162.214, 111.13.105.153, 202.106.2.14
ns7.baidu.com                 	180.76.76.92
rsa.baidu.com                 	115.239.211.31, 183.232.232.54, 202.106.2.51
atom.baidu.com                	10.26.25.78
sports.baidu.com              	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
venus.baidu.com               	10.94.52.44
art.baidu.com                 	10.42.137.45
song.baidu.com                	112.80.255.88
ns8.baidu.com                 	111.206.37.164
news.baidu.com                	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
antispam.baidu.com            	10.42.157.58, 10.42.158.57
office.baidu.com              	10.99.72.22
datamining.baidu.com          	10.40.59.45
lvyou.baidu.com               	115.239.217.166
labs.baidu.com                	10.48.37.38
11.baidu.com                  	202.108.23.222, 61.135.186.230
yuan.baidu.com                	10.81.32.152
help.baidu.com                	112.34.111.18, 112.34.111.183, 112.80.255.39, 112.80.255.43, 117.185.16.213, 117.185.16.230, 180.149.144.165, 180.149.144.166, 180.97.33.42, 180.97.36.81, 202.106.2.77, 202.106.2.78
ko.baidu.com                  	111.202.114.61, 112.80.248.190
education.baidu.com           	180.97.33.57
spaces.baidu.com              	106.120.159.182, 14.215.177.34, 180.149.131.103
abc.baidu.com                 	61.135.169.121, 61.135.169.125
rcs.baidu.com                 	220.181.57.6
gse.baidu.com                 	61.135.169.112, 61.135.185.41
sm.baidu.com                  	180.97.36.93
backup.baidu.com              	10.143.145.28
test.baidu.com                	180.76.134.214
pictures.baidu.com            	111.206.223.32
www1.baidu.com                	61.135.169.121, 61.135.169.125
flash.baidu.com               	182.61.35.21
mysql.baidu.com               	10.105.97.153
updates.baidu.com             	10.26.109.19
mp3.baidu.com                 	182.61.35.21
athena.baidu.com              	10.91.161.102
mq.baidu.com                  	10.92.16.61
mx1.baidu.com                 	220.181.50.185, 61.135.165.120
io.baidu.com                  	10.46.104.43
as.baidu.com                  	112.80.255.227, 123.125.115.134
tool.baidu.com                	10.48.30.110
ny.baidu.com                  	111.206.223.24
hollywood.baidu.com           	180.97.33.34
mr.baidu.com                  	111.202.114.83, 202.108.23.204
l.baidu.com                   	111.206.223.136
whois.baidu.com               	123.125.114.172
nm.baidu.com                  	182.61.62.50
qa.baidu.com                  	220.181.7.181
hub.baidu.com                 	10.57.7.145
oscar.baidu.com               	112.80.248.40, 123.125.112.68
kg.baidu.com                  	10.50.13.175
tf.baidu.com                  	112.122.157.37
gold.baidu.com                	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
apollo.baidu.com              	123.125.112.68, 123.125.115.15
disk.baidu.com                	111.206.223.136
exchange.baidu.com            	10.26.109.19
ns2.baidu.com                 	61.135.165.235
pgp.baidu.com                 	10.94.52.39
vc.baidu.com                  	61.135.165.169
mall.baidu.com                	180.76.175.100
b2b.baidu.com                 	61.135.169.112, 61.135.185.41
wwww.baidu.com                	123.125.114.144
