IP,frequency,active
112.80.255.0/24,17,"['112.80.255.162', '112.80.255.163', '112.80.255.227', '112.80.255.43', '112.80.255.39', '112.80.255.170', '112.80.255.221', '112.80.255.173', '112.80.255.214', '112.80.255.48', '112.80.255.85']"
180.149.131.0/24,10,"['180.149.131.88', '180.149.131.70', '180.149.131.33', '180.149.131.247', '180.149.131.246']"
61.135.165.0/24,9,"['61.135.165.122', '61.135.165.126', '61.135.165.108', '61.135.165.111', '61.135.165.235', '61.135.165.119', '61.135.165.169']"
220.181.57.0/24,9,"['220.181.57.113', '220.181.57.216', '220.181.57.217', '220.181.57.232', '220.181.57.55']"
123.125.115.0/24,8,"['123.125.115.141', '123.125.115.11', '123.125.115.229', '123.125.115.43', '123.125.115.30', '123.125.115.122', '123.125.115.15']"
202.106.2.0/24,8,"['202.106.2.51', '202.106.2.78', '202.106.2.77', '202.106.2.53', '202.106.2.63', '202.106.2.65']"
180.149.144.0/24,7,"['180.149.144.166', '180.149.144.165', '180.149.144.74', '180.149.144.54', '180.149.144.205']"
180.97.33.0/24,7,"['180.97.33.42', '180.97.33.78', '180.97.33.57', '180.97.33.25', '180.97.33.29', '180.97.33.34']"
61.135.169.0/24,5,"['61.135.169.125', '61.135.169.121', '61.135.169.112']"
111.206.37.0/24,5,"['111.206.37.231', '111.206.37.233', '111.206.37.169', '111.206.37.204']"
153.3.236.0/24,5,"['153.3.236.50', '153.3.236.87', '153.3.236.37', '153.3.236.19']"
123.125.114.0/24,5,"['123.125.114.32', '123.125.114.38', '123.125.114.7', '123.125.114.144']"
61.135.185.0/24,5,"['61.135.185.62', '61.135.185.41', '61.135.185.175', '61.135.185.176', '61.135.185.146']"
163.177.151.0/24,4,"['163.177.151.76', '163.177.151.145', '163.177.151.200', '163.177.151.90']"
202.108.23.0/24,4,"['202.108.23.82', '202.108.23.221', '202.108.23.152']"
111.202.114.0/24,4,"['111.202.114.151', '111.202.114.169', '111.202.114.168']"
112.34.111.0/24,4,"['112.34.111.18', '112.34.111.183']"
117.185.16.0/24,4,"['117.185.16.230', '117.185.16.213']"
220.181.163.0/24,4,['220.181.163.54']
61.135.186.0/24,3,"['61.135.186.218', '61.135.186.217', '61.135.186.152']"
112.80.248.0/24,3,"['112.80.248.234', '112.80.248.124', '112.80.248.122']"
180.97.36.0/24,3,"['180.97.36.81', '180.97.36.93']"
14.215.178.0/24,3,"['14.215.178.37', '14.215.178.36', '14.215.178.156']"
202.108.22.0/24,2,['202.108.22.220']
220.181.7.0/24,2,"['220.181.7.181', '220.181.7.205']"
61.135.163.0/24,2,"['61.135.163.61', '61.135.163.62']"
182.61.62.0/24,2,['182.61.62.50']
220.181.37.0/24,2,['220.181.37.10']
220.181.38.0/24,2,['220.181.38.10']
180.149.133.0/24,2,"['180.149.133.167', '180.149.133.164']"
115.239.210.0/24,2,"['115.239.210.59', '115.239.210.223']"
115.239.217.0/24,2,['115.239.217.166']
180.149.145.0/24,2,"['180.149.145.220', '180.149.145.156']"
180.76.134.0/24,1,['180.76.134.214']
111.206.223.0/24,1,['111.206.223.136']
119.63.198.0/24,1,['119.63.198.132']
180.76.141.0/24,1,['180.76.141.217']
180.76.183.0/24,1,['180.76.183.17']
111.13.100.0/24,1,['111.13.100.58']
180.97.93.0/24,1,['180.97.93.28']
115.239.211.0/24,1,['115.239.211.92']
182.61.52.0/24,1,['182.61.52.236']
14.215.177.0/24,1,['14.215.177.186']
111.13.108.0/24,1,['111.13.108.110']
119.75.222.0/24,1,['119.75.222.180']
112.65.203.0/24,1,['112.65.203.48']
112.80.252.0/24,1,['112.80.252.49']
153.37.235.0/24,1,['153.37.235.72']
106.39.162.0/24,1,['106.39.162.42']
123.125.112.0/24,1,['123.125.112.68']
